id;name;age;gender;phone_number;status;created_at;updated_at;is_deleted;deleted_at;deleted_by
1;decision and phew;1871;MALE;controvert afore;ACTIVE;2025-10-28T13:08:25;2025-10-28T18:29:55;false;2025-10-28T15:16:52;3e405135-01f5-42da-a977-85c738ded29d
2;sociable;15023;FEMALE;draw as gah;INACTIVE;2025-10-28T13:20:41;2025-10-28T07:39:03;false;2025-10-28T04:30:37;f40a7db3-93f9-47b0-897d-4df785336ef6
3;ah for except;24930;MALE;generally demob anenst;ACTIVE;2025-10-28T23:56:53;2025-10-28T21:25:41;true;2025-10-28T22:54:37;1dcb81cf-0626-4667-98b7-03fb34840bd5
4;which or;8253;OTHER;drat unto vibration;ACTIVE;2025-10-28T23:03:06;2025-10-28T20:20:07;false;2025-10-28T01:12:27;c48dda6a-400f-4a9a-a5d5-8f4011ab43ca
5;gah across brave;18177;MALE;gurn stall;INACTIVE;2025-10-28T21:49:54;2025-10-28T11:48:12;false;2025-10-28T18:30:39;837f21b6-7ecb-4a1f-9749-a2d1b8201b03
6;unless;30167;MALE;bend;INACTIVE;2025-10-28T15:23:54;2025-10-28T11:58:07;false;2025-10-28T03:33:45;fd458e20-1bc2-42b1-86db-cecab0950c03
7;nor regarding incline;9740;MALE;scrape;ACTIVE;2025-10-28T00:39:50;2025-10-28T18:48:32;false;2025-10-28T03:04:27;c1f8fcb1-3d88-4469-b69a-23921d520dc5
8;fisherman closely;31103;MALE;however muffled gift;ACTIVE;2025-10-28T11:06:29;2025-10-28T18:18:49;false;2025-10-28T03:45:51;02e02a7c-f6c8-480b-aad0-e95d3f1973b4
9;failing deceivingly;28874;FEMALE;pish;INACTIVE;2025-10-28T09:53:34;2025-10-28T13:33:36;false;2025-10-28T17:35:36;3837c84e-78f7-4d87-82c0-ad3b9df9ae6f
10;yowza;23947;FEMALE;meanwhile failing as;ACTIVE;2025-10-28T12:20:13;2025-10-28T10:42:15;false;2025-10-28T22:02:09;f6ca650b-028f-4620-a1a5-6bfdc18fdc26
